review_id,app_id,review_text,label
137272710,1679290,"I need to praise the effort put into the art direction, which is remarkably consistent, and of high quality. The irony in some of the depictions of nations and historical characters sometimes is rather unfunny (to me).

As a war game this is a complete non-event. It is a strategy game with a very well-defined theme and very shallow but finicky battle mechanics. The rules of Kriegspiel are simple, yet deep - and it is a 200 year old game system meant to simulate this very era. Why just don't implement it and put a coat of 21st century snazzy graphics on top of it? There is no tactical nuance: you move to contact, fire, wait for the AI to charge... and that's it. 

The map is crowded with HUGE icons that are supposed to hover over your units. The problem being that those icons sometimes do not register clicks and most of the time are obscuring the battlefield. They convey a lot of information about your units, but do not allow to analyse the terrain. 

""Historical battles"" are essentially MP matches where each player starts in a corner of the map and has to maneuver to contact. The best thing about the historical battles is the opening paragraph giving brief yet well done historical notes to give some context to the player.

A detailed comparison of Fire & Maneuver with games that actually try to simulate (in similar periods) the subject matter is unfair, and an exercise that I leave for the readers of this review. I think too that it may be the gateway for some to get interested into wargaming. The period depicted is super interesting and kinda exotic. It is just too bad for an old grognard like me that since the release of SSI's Age of Rifles (like 30 years ago) there hasn't been a war game published that struck a good balance between historicity and gameplay covering this period. This is not it, but good try.",0
137272945,1663220,"Long as I play to the end, this story still good and gameplay unique, good for killing time.",1
137274382,1816950,"[h1]More interesting reviews on [url=https://store.steampowered.com/curator/33843777//] Fenol Baron Approves Curator Page[/url] [/h1]

The job of a crime scene cleaner is hard and thankless. For some reason, garbage cans are constantly checked, too scrupulous guards for some reason ask why your companion in a wheelchair looks so sick, the authorities do not give bonuses for harmful work. So it remains only to admire the medals for the perfect cleaning, hanging on the wall in the secret room. The crime scene cleaning puzzle game is back and doing it very well. I can't say that the formula for the success of the first game is somehow radically developing, rather, it exploits the potential that has already been developed to the maximum. We have a large number of new cases here, new funny incidents, confusing situations that baffle you, the black humor of the protagonist. All the cases are very witty and crisp, some of them are rather big in scale, the creators do not put pressure on you, but give you the opportunity to explore colorful locations to your heart's content. The game looks delicious, the recognizable visual style of the creators gives its flavor to what is happening. Minor roughness does not spoil the game, but it is impossible not to notice them. For example, in some places you have too many items in your inventory, and you simply don’t know what to do, and the decision turns out to be not the most logical. This is ESPECIALLY about the use of light sticks, which suddenly enter the action almost on a new game mechanic that did not exist until then, and you keep trying to use them directly in dark tunnels. A purely personal reproach is the location of the hint button next to the inventory and the map, an accidental click on which breaks the achievement. In all other respects, the game is just great; it gives such a good charge of vivacity, delighting with black humor and a strange anti-Bond atmosphere. This is exactly what we were waiting for after the release of the first part; the creators did not spoil their child with something unnecessary, competently using the foundation of the first game. Of course I recommend and look forward to new cleanings!",1
137274860,2281730,"mw rip off  💀 
",1
137274157,2281730,"Puede que sea una copia de warzone, pero a mi me gusta mas por el hecho de que puedo jugar en cualquier ordenador y es muy entretenido, se juega muy bien, no se por que este juego esta siendo tan criticado. Para mi es un 9/10. Ojalá que no abandonen el proyecto.
-------------------------------------------------------------------------------------------------------------------------------------
It may be a copy of warzone, but I like it more beacuse I can play it on any computer and it's very entertaining, it plays very well, I don't know why this game is being criticized so much. For me it is a 9/10. I hope they don't abadonate the proyect.

",1
137273715,2281730,"cool mw clone
",1
137273443,2281730,nice,1
137273157,2281730,Just bad. 3v3 TDM and players leave within 10 seconds. Players jump around like bunny rabbits. I'll stick with BF 2042. Uninstalled,0
137272989,2281730,I'll just stick to cod mobile. The constant slide/jump spam is annoying as all i hear is 'HUH HUH HUH' the entire match. From the 4 matches i played if you don't spend money on things your at a disadvantage.,0
137272642,2281730,Quickest way to have motion sickness,1
137273689,1860510,"This game is very fun, but it's difficult to say whether it will become abandonware in a year's time. I wish Steam had a ""Maybe"" button. It's currently very fun, and it would be quite suitable in it's present state, but there are a few important but minor changes I feel need to be made as soon as possible before I can recommend it:

1. (Necessary) Ability to set how powerful/aggressive you want rebels to be. Currently they will somehow out-produce real nations, creating many tanks and armored vehicles in the time it takes you to produce a few. They seem to have unlimited manpower, money, and to spawn whatever ammo and weapons they need. They break my immersion so much I'd just turn them off if I could.

2. (Desired) Map needs to be larger and countries should not all be so close to each other in power. Would also be nice if there was usually more of a buildup to war and ways to prevent it, rather than the enemy just walking over your border without warning of any kind. (Though would be cool if that still happened sometimes as a surprise attack)

3. (Necessary) Tanks should be able to fire shell then swap to machinegun while reloading. The reloading time after firing a shell must pass before you can fire the machinegun. Tanks have loaders so the gunner can keep firing a machinegun while it reloads.

4. (Desired) Vehicle MGs need to be more accurate. Right now it feels like a big floppy salmon that just sort of fires bullets in random directions with a vague bias toward where you're aiming.",0
137273626,2181140,"Hope's End is an enjoyable game that's easy to learn, making it accessible to a newcomer like me to the tower defence genre. It has a good balance between challenge and light fun, with well-paced rounds that keep things interesting. The developers are responsive to community feedback with regular game updates. It's a fun and engaging game that is definitely worth trying out.",1
137272328,2181140,"Fun tower defense game, though the initial learning is a bit rough because everything is thrown at you at once, it's ultimately pretty simple. My only complaints are the menu music being at too loud a default volume, and how hard it can be to locate those guys that damage all of your buildings. (I've spent the entire timer looking and still failed to find it, multiple times.)

It could use some real death animations, and more impressive/notable animations in general. As it is, it isn't super impressive, but it is definitely a solid tower defense game and the amount of upgrades and modifiers should keep it interesting in my free time.",1
137274560,1289340,"I'm a bit surprised this game is fully released. To me it still feels very bare.  It's a fun little restaurant game but it gets repetitive really fast. What bugs me most is there's very limited possibilities for decoration and furniture. I feel like this selection could've majorly approved upon.

After a while of playing, things get more demanding and start making less sense. It seems I have to keep adding equipment to my kitchen. 3 dishwashers, 4 dishwashers... Cabinets for tableware, multiple coffeemachines and mixers and everything seems to want more. I would've preferred if it would go a bit slower and more relaxing.

Having said all that, I do like the feel of the game. It's very easy to play, it's intuitive and I will probably come back to play more of it. I'm secretly hoping there might be more decoration and options in the future.",1
137274405,2327940,"sound is not adjusted by volume sliders, balance seems very off (spawn camp every spawner), cannot skip videos. Cumbersome to reorient the maze when a spawner is created very close to your chest.

Will wait for improvements.",0
137274351,2327940,The game mechanics are nice.  It has cool character designs and music.,1
137273568,2327940,"Very good gameplay, bravo!",1
137273988,2304990,"This game is very fun, but have certain things to fix.

-After a while the coins just go to 0.0001 worth and stay there without ever moving.
-All is fun and games until you have to click 3000!!! times to build one room of mining grids.
-If you fail the only objective, it throws you out of the game and you have to start over.
-Objective list is in gray/white text usually above the room/walls that are in the same color. Think I played for 2 hours before I noticed there was a direct objective list there on the screen as it blended perfectly.

Again, fun game. But so many small things that just take away from enjoying it more.",0
137272937,2304990,A diverse choice of how to arrange your mining farm,1
137275477,986130,"This game has good promise so far, but right now the entire concept flops on itself because of how often the game randomly generates impossible cases.  More then half of the sidequests I get, I'm just handed a photo and the only information I'm given is their eye color and build, and thats it.  ""Find the person with the face"" in the city with a population of several hundred.  No other details whatsoever.",0
137275214,986130,"Having sunk 14 hours into this game in one day, I should probably give my input!

The short version is this. Yes, it is early access. Yes, there are bugs, glitches and I have had to reset a few times, but I have no doubt that this game will be phenomenal once everything has been sorted. If you love immersive sims and the idea of being a detective buy this game. Don't let the early access tag turn you away! So anyway, I'll give an example of a case I had if you are interested and some of my thoughts on the game thus far! 

I have been anticipating this game for a very long time. As a fan of Deus Ex, Dishonored and immersive sims in general, this game was right up my ally! In my current run I decided to run the Dead of Night (the tutorial which I strongly recommend you play), just to get me back into the swing of things after the demo. Completing my first murder case I decided to rest my weary head for a few hours in my new apartment - that is until my scanner went off... Another murder had just taken place a few blocks away.

Arriving at the crime scene and sneaking my way past the enforcer at the door, I was greeted by a truly disturbing sight. A woman looking to be in her early 30s, brown hair and in her pyjamas, slumped against the wall with some kind of ritual circle drawn around her. I proceeded to investigate the scene, looking in the trash, searching the body and establishing a cause of death; a fatal gunshot. I searched her computer and unlocked the safe, no signs of forced entry... It looked like a dead end.

Just as I had given up and was about to move on to another lead, I saw a crumpled piece of paper on the floor. At first I didn't even notice it. Examining it, I was once again floored. The killer had written a message, taunting whoever was trying to solve this crime. The piece of paper stated that the killer wanted to play a game and wanted me to guess their identity by deciphering the jumble of letters in the correct order. Admittedly I spent a few minutes writing down a few names which didn't look right. My wife got it instantly! Using her brilliant deduction, we got a name. Ellis Leroy, or E.Leroy as it was on the scrap of paper. He thought he was being crafty, but he was very wrong.

Finding his address and breaking in, I knocked him unconscious and handcuffed him before he knew what was happening. Not only did I find the murder weapon and other incriminating evidence, I found out his occupation... HE WAS AN ENFORCER! An honest to god enforcer who committed murder! I turned my case in with all the relevant evidence to city hall, it was their problem now. My work was done... Time for another coffee and some fried chicken.

While this case didn't take long to solve, I went through so many loops to find the truth and it felt fantastic. The other murder cases I have completed have also been interesting, but this was my second case and it really stood out to me. If you enjoy sleuthing, being a detective and immersing yourself in a random city with citizens going about their business, then give this game a go. Again, there are problems with the game, but I believe they will be ironed out in good time!

The good:

- The randomly generated worlds look incredible. The art style really does compliment this type of game.
- The murder cases are very interesting! While some cases can be solved quickly, some cases will take longer. Others may not be solved at all, that's just the way it is. Cold cases are a thing in this game too.
- The implants are very cool, very reminiscent of Deus Ex. From being able to carry more items to seeing how much money people earn from their jobs, you can customise your detective however you like!
- It is amazing to see people going about their own lives! The fact that they can be fine one minute, then just break down and commit murder is insane. The citizens are not perfect by any means ( see below for more info).
- THE BULLETIN BOARD! YES! Admittedly I am still working on ways to make sure it does not look like a complete wreck, it is very cool seeing the evidence right there and being able to add your own notes and connections!

The so so:

- Some of the side jobs are a bit hit and miss. I can appreciate that this is very early in the games run time and no doubt that other mission types will possibly be implemented, but there isn't a lot of variety.
- This game does not really hold your hand (unless you do the tutorial). If that is a thing that dissuades you, this may not be the game for you. You can spend an hour or many hours doing a case. That's just the way it is.
- Now I don't want to say that this next point is bad because it isn't, I just thought I should mention it. While the citizens do have their own routines, jobs etc to do, there are issues. Many people just glitch through walls, will randomly leave their apartments as if going to work, only to turn around and head back into their home again. Again, I can appreciate that this is still early days.
- While I did compliment the bulletin board, there are problems. Sometimes things just don't register for whatever reason! AGAIN, sounds like a broken record, early days, early access etc etc.

Are these problems enough to stop me playing? Absolutely not. Should you put off playing because of early access? I would say no, but to each their own I suppose. Shadows of Doubt has so much potential and I cannot wait to see what's in this games future. This could easily be my game of the year! Happy sleuthing detectives! I hope you found this review to be helpful!

",1
137275007,986130,"This is something special. 

Back when I finished Return of the Obra Dinn I was met with a sadness because I could never really play and experience it again. Once you'd solved everything it would be the same on another play through. The mysteries had been revealed, you know what happened and to who. That real sense of solving a case and drawing conclusions yourself was lightning in a bottle. No other mystery games really came close to the sense of freedom Obra Dinn gave you in investigating.

Shadows of Doubt is the game to finally give me that same feeling. It's small open word and procedural environments lend so well to creating fun and engaging bottle mysteries. The case board gives that great sense of freedom in drawing conclusions and piecing things together. It's progression systems feel rewarding, having you start with nothing needing to solve cases to make money to buy gear and even a place to live.

There's early access shakes. Some rough edges need sanding and it could use some more case structures and environments. Judging by the roadmap it looks like a lot of that will be addressed soon enough.

This is already looking like it will be a phenomenal game. It'll either blow up as more content comes and people catch on or it'll be a cult sleeper hit. Get around it.",1
137274471,986130,woooowooooo,1
